시도	날짜	풍속	기온	일조시간	일사량	발전설비	발전량
광주	2020년 7월	1.503225806	23.36129032	69.5	394.45	183.25195	"15,280.24"
광주	2020년 8월	2.161290323	27.60645161	169.8	501.73	184.08788	"19,285.78"
광주	2020년 9월	1.546666667	21.29	158.7	441.01	185.76738	"17,781.79"
광주	2020년 10월	1.212903226	15.6516129	227.6	477.99	186.66438	"20,902.31"
광주	2020년 11월	1.393333333	10.54	176.7	320.91	187.98838	"14,818.35"
광주	2020년 12월	1.416129032	2.658064516	186.5	299.96	190.417998	"13,455.35"
광주	2021년 1월	1.467741935	1.438709677	164.3	304.64	190.075841	"10,735.14"
광주	2021년 2월	1.525	5.142857143	175.3	356.28	191.518401	"16,070.55"
광주	2021년 3월	1.512903226	10.63548387	220.5	524.59	196.171181	"23,853.83"
광주	2021년 4월	1.446666667	14.89666667	230.4	622.29	199.029181	"27,073.72"
광주	2021년 5월	1.429032258	18.38064516	212.8	617.85	199.029181	"26,813.96"
광주	2021년 6월	1.266666667	23.29	200.6	603.21	202.165241	"26,115.24"
광주	2021년 7월	1.529032258	27.04193548	182.3	566.24	204.868761	"24,456.06"
광주	2021년 8월	1.258064516	25.82903226	141.7	466.53	210.658971	"22,480.3"
광주	2021년 9월	1.506896552	22.86	124.8	389.17	212.470291	"19,551.06"
광주	2021년 10월	1.19	17.18064516	211.5	439.7	214.111036	"22,570.49"
광주	2021년 11월	0.963333333	10.21333333	176.5	310.83	214.111036	"16,417.78"
광주	2021년 12월	1.241935484	4.058064516	174.2	288.88	217.205636	"14,562.55"
광주	2022년 1월	1.209677419	1.558064516	184.8	327.51	220.195861	"18,840.79"
광주	2022년 2월	1.453571429	1.785714286	198.6	395.79	219.083131	"21,569.48"
광주	2022년 3월	1.416129032	9.55483871	169.3	434.2	225.429691	"24,343.1"
광주	2022년 4월	1.396666667	15.45333333	256.9	647.3	228.605771	"31,715.66"
광주	2022년 5월	1.277419355	19.34516129	297.9	770.49	229.723081	"36,069.59"
광주	2022년 6월	1.94	23.82666667	166	570.73	234.961356	"26,990.43"
광주	2022년 7월	1.470967742	27.04516129	181.3	552.07	234.949256	"26,427.31"
광주	2022년 8월	1.777419355	26.86451613	129.3	454.3	237.813656	"24,029.88"
광주	2022년 9월	1.496666667	23.05333333	175.9	483.16	238.967046	"26,985.24"
광주	2022년 10월	1.138709677	16.02258065	234.3	459.57	239.339526	"28,742.21"
광주	2022년 11월	1.01	11.80333333	200.4	336.75	239.634181	"20,631.63"
광주	2022년 12월	1.222580645	1.125806452	167.5	275.78	240.978071	"12,374.35"
광주	2023년 1월	1.193548387	1.729032258	184.1	317.53	244.437716	"17,596.51"
광주	2023년 2월	1.132142857	4.203571429	184	383.37	246.834756	"23,520.9"
광주	2023년 3월	1.222580645	11.20322581	237.6	548.72	248.842936	"31,532.22"
광주	2023년 4월	1.426666667	14.66666667	196	535.21	250.470286	"29,135.16"
광주	2023년 5월	1.225806452	19.42580645	194.5	589.17	252.701296	"30,909.39"
광주	2023년 6월	1.07	23.42333333	210	624.15	253.530011	"32,029.03"
광주	2023년 7월	1.303225806	26.26774194	119.2	452.14	255.251896	"23,177.62"
광주	2023년 8월	1.022580645	27.34516129	212.9	574.76	259.523161	"31,425.89"
광주	2023년 9월	0.95	23.82	159.9	463.48	263.576131	"26,472.62"
광주	2023년 10월	0.919354839	16.61290323	231.7	483.8	265.068046	"30,095.53"
광주	2023년 11월	1.326666667	9.856666667	154	293.97	272.212766	"20,637.14"
광주	2023년 12월	1.177419355	4.767741935	125.6	231.34	274.265911	"11,072.52"
광주	2024년 1월	1.24516129	3.035483871	159.3	294.22	277.384211	"18,528.84"
광주	2024년 2월	1.279310345	6.113793103	115.3	277.48	286.734396	"18,614.31"
광주	2024년 3월	1.522580645	8.225806452	195	472.09	289.688131	"32,352.51"
광주	2024년 4월	1.186666667	16.61333333	180.8	501.88	295.259931	"32,540.77"
광주	2024년 5월	1.409677419	19.20322581	271.3	707.88	295.259931	"44,142.28"
광주	2024년 6월	1.266666667	23.75333333	219.2	629.59	297.833936	"36,778.05"
광주	2024년 7월	1.91	26.87741935	130.5	451.46	306.264541	"29,939.4"
광주	2024년 8월	1.258064516	28.45483871	247	626.66	311.731716	"40,162.03"
광주	2024년 9월	1.086666667	26.27666667	187.1	479.05	311.731716	"32,986.54"
광주	2024년 10월	1.161290323	17.69354839	156.1	387.53	322.864386	"27,585.95"
광주	2024년 11월	1.273333333	11.47666667	167.7	312.84	329.910666	"24,610.59"
광주	2024년 12월	1.187096774	3.774193548	158.4	273.77	340.616036	"21,923.76"
대구	2020년 1월	2.125806452	3.764516129	151.4	266.64	74.048003	"9,420.49"
대구	2020년 2월	2.444827586	4.906896552	205.4	375.31	74.369603	"13,163.48"
