지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
보령,2023.7.4,신보령태양광,4.038,1.803313,25,51.6,2.2,93.5,0,
보령,2023.7.5,신보령태양광,4.038,15.597069,23.7,16.6,3.2,88.6,4.2,
보령,2023.7.6,신보령태양광,4.038,18.669286,25.6,,3.5,74.8,7.2,
보령,2023.7.7,신보령태양광,4.038,3.237337,23.3,31.4,1.2,86.9,0,
보령,2023.7.8,신보령태양광,4.038,11.863646,24.3,,2,94.1,4.2,
보령,2023.7.9,신보령태양광,4.038,6.366923,26.2,0,3.5,87.6,1.5,
보령,2023.7.10,신보령태양광,4.038,13.518715,26.1,0.5,3.1,80.6,8.3,
보령,2023.7.11,신보령태양광,4.038,4.614468,24.9,28,3.2,93.1,0.3,
보령,2023.7.12,신보령태양광,4.038,4.714749,24.6,,2,97.8,0,
보령,2023.7.13,신보령태양광,4.038,1.641087,25.7,30.1,3.3,93.8,0,
보령,2023.7.14,신보령태양광,4.038,0.269015,24.2,178.9,7.5,97.8,0,
보령,2023.7.15,신보령태양광,4.038,1.432336,23.4,227.4,4.2,97.8,0,
보령,2023.7.16,신보령태양광,4.038,6.42839,24.5,1.4,2,92.5,0.7,
보령,2023.7.17,신보령태양광,4.038,9.05442,25.1,43.5,1.3,91,4.1,
보령,2023.7.18,신보령태양광,4.038,3.109577,23.9,52,1,94,0.3,
보령,2023.7.19,신보령태양광,4.038,21.469593,25.2,,0.7,87,11.3,
보령,2023.7.20,신보령태양광,4.038,16.393024,24.5,,0.6,87.8,6.5,
보령,2023.7.21,신보령태양광,4.038,21.125369,27.2,0,1,80.8,11.1,
보령,2023.7.22,신보령태양광,4.038,5.49142,26.3,14.7,2.2,73.1,2.6,
보령,2023.7.23,신보령태양광,4.038,0.60432,25.4,84.2,3.8,92.1,0,
보령,2023.7.24,신보령태양광,4.038,11.912097,26.1,0.7,1.8,86.4,1.5,
보령,2023.7.25,신보령태양광,4.038,11.766743,26.5,0.9,2.4,87.4,1,
보령,2023.7.26,신보령태양광,4.038,21.747045,27.4,10.2,1.9,79.9,10.4,
보령,2023.7.27,신보령태양광,4.038,21.570598,27.6,,1.1,81.1,11,
보령,2023.7.28,신보령태양광,4.038,16.811738,28.6,0,0.9,76.5,10.1,
보령,2023.7.29,신보령태양광,4.038,20.685449,28.7,,0.8,76.9,10.8,
보령,2023.7.30,신보령태양광,4.038,20.940482,28.5,0,1.2,75.3,11.2,
보령,2023.7.31,신보령태양광,4.038,17.406893,27.6,0.1,1,80.6,7.4,
보령,2023.8.1,신보령태양광,4.038,22.445616,28.6,,0.8,79.4,10.9,
보령,2023.8.2,신보령태양광,4.038,20.578665,28.2,,0.6,78.1,9.8,
보령,2023.8.3,신보령태양광,4.038,20.201174,28.7,,0.7,70.3,11.4,
보령,2023.8.4,신보령태양광,4.038,19.487658,29,,0.7,72.5,10.5,
보령,2023.8.5,신보령태양광,4.038,19.824889,28.8,,0.8,75.1,10.8,
보령,2023.8.6,신보령태양광,4.038,18.421727,29,,1,75.3,10.8,
보령,2023.8.7,신보령태양광,4.038,18.24431,29.2,0,0.8,78.9,9.7,
보령,2023.8.8,신보령태양광,4.038,18.127398,30.9,,1.2,68.3,10,
